Position,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90
FWL,99,8680,97,28,6.42,1.38,93.1,21.31,0.97,0.22
FW,138,12195,121,25,5.53,1.45,116.29,27.12,0.86,0.2
AML,13,1161,11,4,6.51,2.25,14.82,3.37,1.15,0.26
FWR,1,90,0,0,8,2,0.94,0.08,0.94,0.08
AMC,1,90,1,0,1,1,0.76,0.06,0.76,0.06
Sub,13,355,4,0,4.31,1.27,3.55,0.28,0.9,0.07
