Situation,Sh,G,KP,A,xG,xA,xG90,xA90,xG/Sh,xA/KP
Open play,1103,153,341,52,150.88,48.47,0.6,0.19,0.14,0.14
Direct Freekick,150,6,0,0,8.94,0,0.04,0,0.06,0
From corner,125,17,11,3,16.31,2.16,0.07,0.01,0.13,0.2
Penalty,63,51,0,0,47.37,0,0.19,0,0.75,0
Set piece,37,7,8,2,5.96,1.58,0.02,0.01,0.16,0.2
