Position,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90
FWL,17,1515,15,4,7.01,1.49,17.43,2.82,1.04,0.17
FW,16,1405,16,1,5.77,1.67,12,3.24,0.77,0.21
