Zone,Sh,G,KP,A,xG,xA,xG/Sh,xA/KP
Out of box,66,4,26,2,3.64,1.14,0.06,0.04
Penalty area,75,8,63,19,12.47,11.38,0.17,0.18
Six-yard box,6,2,9,2,2.68,3.08,0.45,0.34
