Position,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90
FW,63,5588,53,10,5.52,1.45,51.13,10.43,0.82,0.17
FWL,29,2583,23,6,6.86,1.39,27.46,4.45,0.96,0.16
Sub,3,77,3,0,3.51,0,2.04,0,2.38,0
AMC,1,90,1,0,1,1,0.76,0.06,0.76,0.06
AML,1,81,1,0,6.67,4.44,1.2,0.17,1.34,0.19
