Position,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90
FW,22,1956,21,5,5.29,1.98,18.47,6.76,0.85,0.31
AMC,7,630,5,3,7,3.14,5.17,2.62,0.74,0.37
AMR,2,180,0,0,6.5,1.5,0.77,0.2,0.38,0.1
FWR,2,180,1,1,6.5,2.5,0.87,1.31,0.43,0.65
Sub,2,71,3,0,6.34,5.07,1.39,0.54,1.76,0.68
