Zone,Sh,G,KP,A,xG,xA,xG/Sh,xA/KP
Out of box,75,9,13,0,4.82,0.5,0.06,0.04
Penalty area,98,24,56,6,18.3,10.1,0.19,0.18
Six-yard box,6,4,9,3,3.76,3.35,0.63,0.3
