Zone,Sh,G,KP,A,xG,xA,xG/Sh,xA/KP
Out of box,102,8,19,1,5.60-2.40,0.72-0.28,0.05,0.04
Penalty area,79,17,46,6,13.99-3.01,7.69+1.69,0.18,0.17
Six-yard box,14,5,12,2,7.08+2.08,3.01+1.01,0.51,0.25
