Position,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90
FWR,21,1846,22,13,4.97,2.88,14.13,12.26,0.69,0.6
FW,8,720,3,4,5.75,2,5.81,2.5,0.73,0.31
AMC,3,270,0,3,3,3.67,0.76,1.67,0.25,0.56
Sub,1,40,0,0,4.5,4.5,0.15,0.16,0.33,0.36
