Position,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90
FW,17,1507,11,6,5.55,1.73,11.64,3.36,0.7,0.2
FWL,11,990,7,2,6.73,1.27,9.12,1.6,0.83,0.15
AMC,1,90,1,0,1,1,0.76,0.06,0.76,0.06
AML,1,81,1,0,6.67,4.44,1.2,0.17,1.34,0.19
Sub,1,24,1,0,3.75,0,0.6,0,2.25,0
