Shot types,Sh,G,KP,A,xG,xA,xG/Sh,xA/KP
Left foot,1192,205,197,28,169.27,36.17,0.14,0.18
Right foot,135,30,389,77,29.14,67.45,0.22,0.17
Head,60,9,95,15,11.59,17.37,0.19,0.18
Other body part,2,0,1,0,0.57,0.14,0.29,0.14
