Season,Team,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90
2022/2023,Paris Saint Germain,13,1145,7,10,4.4,2.67,8.35,6.55,0.66,0.52
2021/2022,Paris Saint Germain,26,2155,6,13,3.72,2.63,9.88,8.68,0.41,0.36
2020/2021,Barcelona,35,3017,30,9,5.82,2.3,26.68,11.42,0.8,0.34
2019/2020,Barcelona,33,2876,25,20,4.98,2.75,20.85,16.59,0.65,0.52
2018/2019,Barcelona,34,2704,36,13,5.66,3.1,26,15.34,0.87,0.51
2017/2018,Barcelona,36,2995,34,12,5.89,2.61,28.95,15.1,0.87,0.45
2016/2017,Barcelona,34,2832,37,9,5.69,2.51,26.89,13.96,0.85,0.44
2015/2016,Barcelona,33,2726,26,16,5.22,2.54,27.1,15.87,0.89,0.52
2014/2015,Barcelona,38,3374,43,18,4.99,2.53,35.89,17.61,0.96,0.47
