Zone,Sh,G,KP,A,xG,xA,xG/Sh,xA/KP
Out of box,33,3,15,0,1.16,0.48,0.04,0.03
Penalty area,94,14,16,2,14.9,3.1,0.16,0.19
Six-yard box,9,2,2,1,3.5,1.18,0.39,0.59
