Position,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90
FW,30,2676,26,3,5.38,1.18,27.49,3.83,0.92,0.13
FWL,1,78,1,0,5.77,1.15,0.91,0.02,1.05,0.03
Sub,2,53,2,0,3.4,0,1.44,0,2.44,0
