Zone,Sh,G,KP,A,xG,xA,xG/Sh,xA/KP
Out of box,510,20,135,8,20.7,4.91,0.04,0.04
Penalty area,855,176,194,36,161.03,32.42,0.19,0.17
Six-yard box,113,38,31,13,47.73,14.87,0.42,0.48
