Position,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90
FWR,131,11472,126,59,5.1,2.66,102.38,63.94,0.8,0.5
FW,99,8796,88,42,5.33,2.58,82.27,42.08,0.84,0.43
Sub,19,602,9,2,6.43,3.44,4.5,3.26,0.67,0.49
AMC,29,2594,21,16,5.38,2.6,19.84,11.58,0.69,0.4
FWL,1,90,0,1,3,1,0.1,0.07,0.1,0.07
AMR,3,270,0,0,5.67,1,1.49,0.2,0.5,0.07
