Position,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90
AMC,14,1244,5,8,4.2,2.39,6.81,5.38,0.49,0.39
FW,15,1287,7,8,3.99,2.94,8.39,6.43,0.59,0.45
FWR,8,720,2,7,3.38,2.63,2.83,3.73,0.35,0.47
AMR,1,90,0,0,4,0,0.72,0,0.72,0
Sub,2,49,0,0,1.84,3.67,0.04,0.06,0.07,0.11
