Position,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90
FW,31,2735,18,3,4.01,0.92,18.05+0.05,4.49+1.49,0.59,0.15
Sub,10,278,1,0,4.53,1.62,1.51+0.51,0.28+0.28,0.49,0.09
