Zone,Sh,G,KP,A,xG,xA,xG/Sh,xA/KP
Out of box,634,57,145,9,37.49,5.81,0.06,0.04
Penalty area,676,156,467,91,133.01,91.91,0.2,0.2
Six-yard box,79,31,70,20,40.09,23.4,0.51,0.33
